area,isector,account_entry,transaction,instr_asset,ref_date,period,value,unit,unit_mult,prices,ref_year_price,activity,consolidation,note
"CZ","S1","C","P1","_Z","_Z","2012","123411","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2013","112489","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2014","114989","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2015","115548","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2016","116063","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2017","119625","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2018","125758","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2019","129083","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2020","125727","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2021","145272","CZK","6","L","2015","E","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1991","500773","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1992","524329","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1993","546463","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1994","575352","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1995","651693","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1996","678450","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1997","661064","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1998","635141","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1999","611693","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2000","597450","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2001","604842","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2002","641045","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2003","690176","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2004","708982","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2005","736697","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2006","816651","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2007","930575","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2008","923356","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2009","843878","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2010","837668","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2011","803710","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2012","738381","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2013","717269","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2014","737878","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2015","781524","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2016","738615","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2017","765033","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2018","819467","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2019","830315","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2020","790433","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2021","810232","CZK","6","L","2015","F","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1991","381589","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1992","393819","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1993","372710","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1994","374353","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1995","380723","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1996","399392","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1997","400759","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1998","403552","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1999","421999","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2000","472174","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2001","493632","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2002","519341","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2003","568600","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2004","615110","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2005","637301","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2006","699583","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2007","752025","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2008","762393","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2009","737831","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2010","800857","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2011","833607","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2012","802207","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2013","819264","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2014","871254","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2015","919456","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2016","928690","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2017","1001647","CZK","6","L","2015","G","N","P.1c"
